-0.40112994         0.25988701          -0.31073446         1.28248588
-0.39548023         0.29943503          -0.18644068         1.30508475
-0.38983051         0.33333333          -0.08474576         1.31073446
-0.38418079         0.34463277                   0          1.29943503
-0.37853107         0.36158192          0.05084746          1.29943503
-0.37288136         0.37853107          0.11864407          1.28813559
-0.36158192         0.39548023          0.16949153          1.28248588
-0.35028249         0.40677966          0.22033898          1.26553672
-0.33898305         0.42372881          0.27683616          1.24858757
-0.3220339          0.44067797          0.34463277           1.2259887
-0.31073446          0.4519774          0.43502825          1.18644068
-0.29378531         0.46892655          0.47457627          1.16949153
-0.27683616         0.48587571          0.51412429          1.15254237
-0.25988701         0.50282486          0.57627119          1.11864407
-0.23728814         0.51412429          0.62146893          1.09039548
-0.22033898         0.53107345          0.66666667          1.06214689
-0.1920904          0.55367232          0.72316384          1.03954802
-0.16949153         0.57627119           0.7740113                   1
-0.14124294         0.59887006          0.81355932          0.97740113
-0.11864407         0.62146893          0.87570621          0.93220339
-0.0960452          0.63841808          0.90960452           0.9039548
